Deals:,,,,,,,,,,,,
Open Time,Ticket,Type,Size,Item,Price,Order,Comment,,Entry,Commission,Swap,Profit
2025.06.04 22:51:39,17252394,sell,0.05,EURUSD,1.14127,79526790,,,out,0,0,-8.46
2025.06.04 22:51:43,17252395,buy,0.07,EURUSD,1.14135,79526791,[so 48.75%/361.49/741.58],,out,0,4.56,-207.54
2025.06.05 12:11:32,17255049,sell,0.05,USDJPY,143.23,79529483,,,in,0,0,0
2025.06.05 12:26:39,17255209,buy,0.05,EURUSD,1.14211,79529639,,,in,0,0,0
2025.06.05 15:30:12,17256690,sell,0.05,EURUSD,1.14391,79531121,[tp 1.14391],,out,0,0,7.87
2025.06.05 15:32:05,17256839,buy,0.03,EURUSD,1.14432,79531267,,,in,0,0,0
2025.06.05 15:32:10,17256842,buy,0.05,USDJPY,142.823,79531270,,,out,0,0,12.45
2025.06.05 15:33:42,17256865,sell,0.05,USDJPY,142.809,79531295,,,in,0,0,0
2025.06.05 15:50:08,17257217,buy,0.05,USDJPY,143.489,79531637,[sl 143.489],,out,0,0,-20.75
2025.06.05 16:09:24,17257752,sell,0.07,USDJPY,143.392,79532176,,,in,0,0,0
2025.06.05 16:12:13,17257939,sell,0.07,USDJPY,143.229,79532358,,,in,0,0,0
2025.06.05 16:30:24,17258692,sell,0.03,EURUSD,1.14866,79533116,,,out,0,0,11.33
2025.06.05 16:30:59,17258722,buy,0.07,USDJPY,143.128,79533149,,,out,0,0,4.3
2025.06.05 16:31:08,17258730,sell,0.03,USDJPY,143.088,79533157,,,in,0,0,0
2025.06.05 16:31:12,17258732,buy,0.07,USDJPY,143.083,79533159,,,out,0,0,13.16
2025.06.05 16:33:47,17258816,buy,0.03,EURUSD,1.14923,79533244,,,in,0,0,0
2025.06.05 16:34:45,17258831,sell,0.07,USDJPY,142.942,79533258,,,in,0,0,0
2025.06.05 17:05:48,17259471,buy,0.07,USDJPY,143.243,79533912,,,out,0,0,-12.83
2025.06.05 17:06:13,17259491,buy,0.03,USDJPY,143.254,79533931,,,out,0,0,-3.03
