<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.03.06	05:00:00	105.920	105.951	105.778	105.804	2840	0	6
2020.03.06	06:00:00	105.798	105.875	105.752	105.841	2185	0	6
2020.03.06	07:00:00	105.841	105.860	105.768	105.817	2015	0	6
2020.03.06	08:00:00	105.818	105.988	105.803	105.914	2916	0	6
2020.03.06	09:00:00	105.915	106.060	105.774	105.792	4331	0	6
2020.03.06	10:00:00	105.792	105.935	105.663	105.758	6616	0	6
2020.03.06	11:00:00	105.760	105.818	105.115	105.168	6182	0	6
2020.03.06	12:00:00	105.168	105.446	104.991	105.427	8873	0	6
2020.03.06	13:00:00	105.427	105.484	105.120	105.256	6949	0	6
2020.03.06	14:00:00	105.257	105.370	105.138	105.179	5442	0	6
2020.03.06	15:00:00	105.177	105.421	105.007	105.286	9013	0	6
2020.03.06	16:00:00	105.284	105.292	105.018	105.165	10503	0	6
2020.03.06	17:00:00	105.166	105.737	105.095	105.361	13537	0	6
2020.03.06	18:00:00	105.360	105.440	105.141	105.304	8008	0	6
2020.03.06	19:00:00	105.303	105.635	105.192	105.472	5633	0	6
2020.03.06	20:00:00	105.469	105.557	105.396	105.474	4873	0	6
2020.03.06	21:00:00	105.475	105.495	105.181	105.187	5253	0	6
2020.03.06	22:00:00	105.191	105.552	105.155	105.493	8520	0	6
2020.03.06	23:00:00	105.493	105.496	105.284	105.300	1887	0	6
2020.03.08	23:00:00	104.301	104.434	104.242	104.429	1401	0	6
2020.03.09	00:00:00	104.430	104.596	103.519	103.721	8572	0	6
2020.03.09	01:00:00	103.718	104.257	103.710	103.933	7003	0	6
2020.03.09	02:00:00	103.937	104.263	103.929	104.131	6228	0	6
2020.03.09	03:00:00	104.132	104.209	101.608	102.257	9767	0	6
2020.03.09	04:00:00	102.257	102.744	101.565	102.654	12118	0	6
2020.03.09	05:00:00	102.653	103.062	102.251	102.458	8104	0	6
2020.03.09	06:00:00	102.457	102.859	102.396	102.817	6720	0	6
2020.03.09	07:00:00	102.819	102.871	102.520	102.592	5457	0	6
2020.03.09	08:00:00	102.596	102.800	102.558	102.754	4930	0	6
2020.03.09	09:00:00	102.745	102.745	101.808	102.270	11443	0	6
2020.03.09	10:00:00	102.256	102.695	102.120	102.448	7373	0	6
2020.03.09	11:00:00	102.449	102.802	102.381	102.519	5736	0	6
2020.03.09	12:00:00	102.516	102.521	102.151	102.350	4571	0	6
2020.03.09	13:00:00	102.348	102.406	102.186	102.273	5513	0	6
2020.03.09	14:00:00	102.272	102.474	102.222	102.291	5033	0	6
2020.03.09	15:00:00	102.288	102.659	101.179	102.447	11702	0	6
2020.03.09	16:00:00	102.448	102.492	102.132	102.289	10986	0	6
2020.03.09	17:00:00	102.286	102.597	102.135	102.515	8168	0	6
2020.03.09	18:00:00	102.505	102.597	102.035	102.066	9571	0	6
2020.03.09	19:00:00	102.068	102.335	101.967	102.167	8359	0	6
2020.03.09	20:00:00	102.168	102.505	101.965	102.078	12726	0	6
2020.03.09	21:00:00	102.075	102.456	102.074	102.360	10782	0	6
2020.03.09	22:00:00	102.359	102.561	102.259	102.366	3240	0	6
2020.03.09	23:00:00	102.367	102.414	102.199	102.290	4034	0	6
2020.03.10	00:00:00	102.291	102.474	102.009	102.434	6550	0	6
2020.03.10	01:00:00	102.432	103.247	102.397	103.081	7037	0	6
2020.03.10	02:00:00	103.082	103.581	102.701	103.382	9582	0	6
2020.03.10	03:00:00	103.381	103.676	103.239	103.290	7851	0	6
2020.03.10	04:00:00	103.291	103.316	103.057	103.237	5090	0	6
2020.03.10	05:00:00	103.237	103.821	103.208	103.697	4748	0	6
2020.03.10	06:00:00	103.696	104.256	103.638	104.223	6911	0	6
2020.03.10	07:00:00	104.222	105.012	104.195	104.700	10426	0	6
2020.03.10	08:00:00	104.691	104.811	104.306	104.627	8955	0	6
2020.03.10	09:00:00	104.626	104.626	103.804	103.844	8448	0	6
2020.03.10	10:00:00	103.847	104.508	103.724	104.469	7870	0	6
2020.03.10	11:00:00	104.469	104.725	104.250	104.619	5146	0	6
2020.03.10	12:00:00	104.618	105.212	104.510	104.938	5539	0	6
2020.03.10	13:00:00	104.937	104.941	104.536	104.661	4346	0	6
2020.03.10	14:00:00	104.659	104.688	103.830	104.230	9213	0	6
2020.03.10	15:00:00	104.229	104.659	104.046	104.473	10332	0	6
2020.03.10	16:00:00	104.474	104.571	103.853	103.888	7748	0	6
2020.03.10	17:00:00	103.890	104.082	103.217	103.678	11817	0	6
2020.03.10	18:00:00	103.677	104.408	103.663	104.276	12013	0	6
2020.03.10	19:00:00	104.277	104.666	104.231	104.380	10468	0	6
2020.03.10	20:00:00	104.381	105.281	104.234	105.099	10615	0	6
2020.03.10	21:00:00	105.108	105.916	105.104	105.490	10365	0	6
