<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.08	03:00:00	1.20560	1.20601	1.20424	1.20466	3153	0	6
2023.02.08	04:00:00	1.20466	1.20521	1.20397	1.20519	3061	0	6
2023.02.08	05:00:00	1.20519	1.20566	1.20490	1.20546	1798	0	6
2023.02.08	06:00:00	1.20545	1.20562	1.20499	1.20546	1360	0	7
2023.02.08	07:00:00	1.20538	1.20539	1.20450	1.20530	1283	0	6
2023.02.08	08:00:00	1.20528	1.20573	1.20441	1.20463	2163	0	6
2023.02.08	09:00:00	1.20462	1.21047	1.20380	1.20992	4784	0	6
2023.02.08	10:00:00	1.20991	1.21020	1.20768	1.20858	8484	0	6
2023.02.08	11:00:00	1.20859	1.21093	1.20845	1.21049	4913	0	6
2023.02.08	12:00:00	1.21050	1.21051	1.20852	1.20940	4295	0	6
2023.02.08	13:00:00	1.20939	1.21017	1.20850	1.20918	3465	0	6
2023.02.08	14:00:00	1.20919	1.21081	1.20835	1.20880	3711	0	6
2023.02.08	15:00:00	1.20882	1.20970	1.20751	1.20830	4934	0	6
2023.02.08	16:00:00	1.20830	1.20958	1.20599	1.20678	7778	0	6
2023.02.08	17:00:00	1.20678	1.20827	1.20540	1.20790	8275	0	6
2023.02.08	18:00:00	1.20792	1.20948	1.20640	1.20908	6368	0	6
2023.02.08	19:00:00	1.20908	1.20971	1.20771	1.20832	4651	0	6
2023.02.08	20:00:00	1.20835	1.20946	1.20760	1.20865	5858	0	6
2023.02.08	21:00:00	1.20865	1.20866	1.20685	1.20708	3286	0	6
2023.02.08	22:00:00	1.20708	1.20726	1.20596	1.20680	3316	0	6
2023.02.08	23:00:00	1.20679	1.20717	1.20640	1.20702	1789	0	6
2023.02.09	00:00:00	1.20597	1.20704	1.20597	1.20663	1235	0	14
2023.02.09	01:00:00	1.20659	1.20739	1.20610	1.20699	2591	0	6
2023.02.09	02:00:00	1.20699	1.20733	1.20623	1.20632	3220	0	6
2023.02.09	03:00:00	1.20632	1.20763	1.20564	1.20746	4091	0	6
2023.02.09	04:00:00	1.20746	1.20837	1.20737	1.20800	2287	0	7
2023.02.09	05:00:00	1.20800	1.20840	1.20747	1.20806	1933	0	6
