<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.04	15:00:00	1.12667	1.12708	1.12163	1.12373	10386	0	6
2020.06.04	16:00:00	1.12373	1.12735	1.12262	1.12682	8980	0	6
2020.06.04	17:00:00	1.12680	1.13506	1.12659	1.13431	9390	0	6
2020.06.04	18:00:00	1.13434	1.13620	1.13121	1.13214	7341	0	6
2020.06.04	19:00:00	1.13213	1.13321	1.13178	1.13287	3546	0	6
2020.06.04	20:00:00	1.13287	1.13455	1.13280	1.13440	2516	0	6
2020.06.04	21:00:00	1.13442	1.13618	1.13440	1.13480	3448	0	6
2020.06.04	22:00:00	1.13480	1.13506	1.13291	1.13299	3053	0	6
2020.06.04	23:00:00	1.13300	1.13354	1.13259	1.13352	1219	0	6
2020.06.05	00:00:00	1.13364	1.13390	1.13330	1.13353	632	0	6
2020.06.05	01:00:00	1.13355	1.13429	1.13349	1.13381	723	0	6
2020.06.05	02:00:00	1.13381	1.13442	1.13351	1.13352	886	0	6
2020.06.05	03:00:00	1.13353	1.13440	1.13309	1.13323	1746	0	6
2020.06.05	04:00:00	1.13325	1.13384	1.13279	1.13287	1629	0	6
2020.06.05	05:00:00	1.13286	1.13332	1.13257	1.13316	1184	0	6
2020.06.05	06:00:00	1.13316	1.13402	1.13312	1.13387	1198	0	6
2020.06.05	07:00:00	1.13388	1.13548	1.13377	1.13466	1431	0	6
2020.06.05	08:00:00	1.13464	1.13740	1.13433	1.13688	2074	0	6
2020.06.05	09:00:00	1.13687	1.13834	1.13635	1.13729	4353	0	6
2020.06.05	10:00:00	1.13730	1.13807	1.13448	1.13484	4755	0	6
2020.06.05	11:00:00	1.13484	1.13557	1.13260	1.13321	3819	0	6
2020.06.05	12:00:00	1.13323	1.13369	1.13168	1.13350	4437	0	6
2020.06.05	13:00:00	1.13348	1.13351	1.13170	1.13280	3091	0	6
2020.06.05	14:00:00	1.13284	1.13378	1.13261	1.13352	3192	0	6
2020.06.05	15:00:00	1.13354	1.13432	1.12821	1.12951	9724	0	6
2020.06.05	16:00:00	1.12952	1.13237	1.12849	1.12968	8436	0	6
2020.06.05	17:00:00	1.12966	1.13225	1.12825	1.13117	7123	0	6
2020.06.05	18:00:00	1.13117	1.13193	1.12920	1.12953	4996	0	6
2020.06.05	19:00:00	1.12954	1.12981	1.12850	1.12902	2969	0	6
2020.06.05	20:00:00	1.12902	1.12916	1.12786	1.12911	1824	0	6
2020.06.05	21:00:00	1.12912	1.12991	1.12886	1.12935	2288	0	6
2020.06.05	22:00:00	1.12935	1.12993	1.12901	1.12913	1758	0	6
2020.06.05	23:00:00	1.12915	1.12916	1.12781	1.12909	1985	0	6
2020.06.08	00:00:00	1.12930	1.13061	1.12923	1.12970	321	0	6
2020.06.08	01:00:00	1.12970	1.13043	1.12931	1.13014	996	0	6
2020.06.08	02:00:00	1.13013	1.13195	1.13002	1.13158	1055	0	6
2020.06.08	03:00:00	1.13156	1.13156	1.12963	1.12975	1958	0	6
2020.06.08	04:00:00	1.12974	1.12993	1.12846	1.12930	1996	0	6
2020.06.08	05:00:00	1.12926	1.12961	1.12883	1.12890	1338	0	6
2020.06.08	06:00:00	1.12893	1.12954	1.12891	1.12895	774	0	6
2020.06.08	07:00:00	1.12896	1.12913	1.12864	1.12885	729	0	6
2020.06.08	08:00:00	1.12885	1.12938	1.12825	1.12910	932	0	6
2020.06.08	09:00:00	1.12915	1.12963	1.12809	1.12939	2540	0	6
2020.06.08	10:00:00	1.12939	1.13079	1.12830	1.12998	3904	0	6
2020.06.08	11:00:00	1.12998	1.13154	1.12960	1.12999	3342	0	6
2020.06.08	12:00:00	1.13000	1.13064	1.12884	1.12966	3056	0	6
2020.06.08	13:00:00	1.12965	1.12969	1.12698	1.12708	3316	0	6
2020.06.08	14:00:00	1.12709	1.12785	1.12680	1.12761	2801	0	6
2020.06.08	15:00:00	1.12761	1.13027	1.12756	1.12936	3307	0	6
2020.06.08	16:00:00	1.12936	1.13181	1.12924	1.13095	4290	0	6
2020.06.08	17:00:00	1.13094	1.13127	1.12904	1.13005	5396	0	6
2020.06.08	18:00:00	1.13006	1.13109	1.12850	1.12879	3942	0	6
2020.06.08	19:00:00	1.12885	1.13014	1.12853	1.12909	2903	0	6
2020.06.08	20:00:00	1.12909	1.13011	1.12890	1.13011	2135	0	6
2020.06.08	21:00:00	1.13008	1.13084	1.12997	1.13035	1470	0	6
2020.06.08	22:00:00	1.13034	1.13042	1.12967	1.12969	1317	0	6
2020.06.08	23:00:00	1.12969	1.12970	1.12907	1.12922	668	0	6
2020.06.09	00:00:00	1.12912	1.12920	1.12897	1.12906	254	0	6
2020.06.09	01:00:00	1.12908	1.12957	1.12907	1.12944	593	0	6
2020.06.09	02:00:00	1.12946	1.13050	1.12939	1.13038	517	0	6
2020.06.09	03:00:00	1.13036	1.13148	1.12993	1.13039	2035	0	6
2020.06.09	04:00:00	1.13039	1.13041	1.12849	1.12921	2462	0	6
2020.06.09	05:00:00	1.12923	1.12927	1.12837	1.12871	1187	0	6
2020.06.09	06:00:00	1.12871	1.12912	1.12846	1.12870	896	0	6
2020.06.09	07:00:00	1.12871	1.12889	1.12838	1.12850	1114	0	6
2020.06.09	08:00:00	1.12851	1.12954	1.12846	1.12911	1082	0	6
2020.06.09	09:00:00	1.12912	1.12959	1.12657	1.12677	3672	0	6
2020.06.09	10:00:00	1.12678	1.12759	1.12548	1.12666	5059	0	6
